samples,langs
[jekyll]: https://jekyllrb.com
[Jekyll's Basic Usage Guide]: https://jekyllrb.com/docs/usage/
[Github pages]: https://pages.github.com/
[some Jekyll plugins]: https://help.github.com/articles/adding-jekyll-plugins-to-a-github-pages-site/",Markdown
"---
layout: about
title: Sobre o Vagrant

current: Sobre
---
<div class=""alert alert-block alert-info"">
  <strong>Observação:</strong> Essa página fala sobre o projeto Vagrant em si.
  Se em vez isso você estiver procurando pela documentação sobre o que o
  Vagrant é e como começar a utilizá-lo, vá para o 
  <a href=""/v1/docs/getting-started/index.html"">guia de iniciação.</a>
</div>

# Sobre o Vagrant

O Vagrant é um projeto livre e de código aberto. A visão do projeto é criar
uma ferramenta que gerencie de forma transparente todas as partes complexas
do desenvolvimento moderno com ambientes virtuais sem afetar demais o fluxo de
trabalho diário do desenvolvedor.

O Vagrant foi criado em [21 de janeiro de 2010](https://github.com/mitchellh/vagrant/commit/050bfd9c686b06c292a9614662b0ab1bbf652db3)
por [Mitchell Hashimoto](https://github.com/mitchellh) e
[John Bender](http://johnbender.us/). A primeira versão do Vagrant
lançada foi a 0.1.0 em
[7 de março de 2010](https://github.com/mitchellh/vagrant/commit/296f234b50440b81adc8b75160591e199572d06d).

Hoje, o Vagrant é considerado estável e é usado por por milhares de pessoas
no mundo inteiro. A visão do Vagrant se mantém inalterada, e avança em
direção ao seu objetivo ambicioso de colocar todo o desenvolvimento para
ambientes virtualizados tornando isso mais fácil do que não fazê-lo.
Adicionalmente, o trabalho continua para que o Vagrant rode de forma idêntica
em todas as principais plaformas e sistemas operacionais consumidos (Linux,
Mac OS X e Windows).

O desenvolvimento do Vagrant não é apoiado por apenas uma única empresa, e os
desenvolvedores trabalham no Vagrant em seu tempo livre. Muito do trabalho e
da ajuda que move o desenvolvimento do Vagrant é graças as generosas
[contribuições](/contribute/index.html).
",Markdown
"# webpack-boilerplate

Simple production-ready boilerplate for [Webpack](http://webpack.github.io/) (CoffeeScript and HTML)

## Features

* compiles your scripts, templates, styles
* lints them
* wraps the scripts and templates in common.js / AMD modules
* concatenates scripts and styles
* generates source maps for concatenated files
* shrinks the output by minifying code and optimizing images
* watches your files for changes
* notifies you about errors via console
* generates your static html from handlebars templates

## Install

```sh
# Clone repository
$ git clone https://github.com/otard/webpack-boilerplate.git && cd webpack-boilerplate

# Install dependencies
$ npm install
```

## Development

```sh
$ npm run build
```

## Production

If you want to run the project in production, set the `NODE_ENV` environment variable to `production`.

```sh
export NODE_ENV=production
```

## Tests

```sh
$ npm test
```

## License

MIT © [Otard Sun](http://github.com/otard)
",Markdown
"# aaronwest.github.io

A simple website using [Jekyll](http://jekyllrb.com) + [GitHub Pages](https://pages.github.com). Designed to function as a basic engineering notebook to jot down thoughts and ideas.

To view the website visit [notebook.aaronwest.net](http://notebook.aaronwest.net).
",Markdown
"# Injections

Injections are simply other classes that are included in our component tree.
In our example we have `Store` and `Router` injections.

Take a look at our `Store`.

```ruby
class Store
  include Inesita::Injection

  attr_accessor :counter

  def init
    @counter = 0
  end

  def increase
    @counter += 1
  end

  def decrease
    @counter -= 1
  end
end
```

This is an `injection` example. We are including `Inesita::Injection` in order to be able to inject this class into the root component.

In this example, we're storing counter value.

The `init` method initializes our store. At the beginning we're setting the counter value to 0.

The `increase` method increments current counter value by 1

The `decrease` method decrements current counter value by 1

There is also `attr_accessor :counter` so we can access that value with `store.counter`.

Simple! Right?

You can inject other stores, but also things like dispatchers depending on the architecture you want to obtain.
",Markdown
"Deprecated.

See:
 - [TRex Collection](https://github.com/Raphhh/trex-collection): PHP helpers for collections.
 - [TRex Reflection](https://github.com/Raphhh/trex-reflection): PHP tool to reflect callables an types.
 - [TRex parser](https://github.com/Raphhh/trex-parser): PHP tool to parse code and extract statements.
 - [TRex Cli](https://github.com/Raphhh/trex-cli): Command process helper.
",Markdown
"# Awful Recruiters

This used to be a list of third party recruiters. This was on the website:

> I am definitely not saying these companies are awful. Simply that they are a source of undesirable email. This site is simply a list of domains. No claims are being made about the owners or their intentions.

Ideally, it was just a list of third-party recruiters. “Awful” was intended to be humorous. Some people over reacted a bit. Instead of constantly trying to explain myself, I think it's best to just remove the list. The whole point was to get less email. It's easier to ignore irrelevant job emails than empty legal threats.
",Markdown
"---
layout: post.html
title: ""Fundraising for PyLadies for PyCon 2015""
tag: [PyCon]
author: Lynn Root
author_link: http://twitter.com/roguelynn
---

**TL;DR**: [Donate](#ways-to-donate) to PyLadies for PyCon!

It's that time again! With [PyCon 2015][0] planning in high gear, PyLadies is revving up to raise funds to help women attend the biggest Python conference of the year.

Last year, we raised **$40,000**. We're hoping to do that again to help women attend PyCon.  Here's the breakdown:

### Our numbers

* In addition to registration, it will take about $500-1000 per woman in North America to attend PyCon 2015 in Montreal
* In addition to registration, it will take about $1000-2000 per woman outside of North America to attend PyCon 2015 in Montreal

### Why PyLadies? Our effect on the community
_(percentages are not at all accurate, and are roughly estimated based on guessing names-to-gender scripts):_

* PyCon 2011 had less than 10% women attendees (speaker % unknown)
* PyLadies started in late 2011
* PyCon 2012 had about 11% women attendees, and about the same in speakers.
    * This included giving PyLadies and [Women Who Code][8] booths to help promote our messages
* At the time of PyCon 2014, PyLadies had over [35 chapters][7], doing stuff like:
    * hosts events like learning python, learning git/github,
    * providing space for study groups,
    * enriching members with speaker series (like Guido van Rossum!),
    * events to help think up of talks to submit for PyCon (as well as DjangoCon),
    * hold events for folks to practice their talk, etc
* PyLadies work showed:
    * PyCon 2013 had over 20% women attendees, and about 22% women speakers.
    * PyCon 2014 had over 30% women attendees, and about a third of the speakers were women.
* No overhead - we're all volunteers! ;-)
* Lastly, donations tax deductible since PyLadies is under the financial enclave of the Python Software Foundation

### What we're actively doing:

* We're using all of the $12k that PyLadies raised at last year's PyCon auction to increase the aid pool - something that we were hoping to actually use towards growing PyLadies locations (but it's okay! $10k for more women friends at PyCon!)
* We're bugging companies and individuals do donate (hence this blog post!).

### What you will get in return

* Unless you explicitly choose to be anonymous (though the [online donation site][5] or in private discussions), we will profusely thank you via our public channels (Twitter, this blog, and at our PyCon booth)
* Provide a detailed write-up and financial introspection of how many women we've helped because of this campaign
* Visibility! It shows the PyCon/Python community that your company/you are serious about women in tech - which can directly benefit sponsors with increased hiring pool of female Pythonistas.


### Ways to donate

All of the following methods are tax-deductible with funds going to the [Python Software Foundation][1], a 501(c)3 charitable organization.

* Through our [donation page][4] (ideal for individuals)
* Email me at [lynn@lynnroot.com][2] (ideal for companies or anyone needing a proper invoice, or individualized solutions)
* Become a [sponsor][6] for PyCon (this is more indirect and less potent, but overall helpful to PyCon)


More information is available on the [PyCon Financial Aid][5] site if you would like to apply for financial aid for PyCon, whether you are a PyLady or PyGent.





[0]: http://us.pycon.org/2015
[1]: http://python.org/psf
[2]: mailto:lynn@lynnroot.com?subject=PyLadies%20Donation
[3]: http://pyladies.com/blog
[4]: https://psfmember.org/civicrm/contribute/transact?reset=1&id=6
[5]: https://us.pycon.org/2014/assistance/
[6]: https://us.pycon.org/2014/sponsors/prospectus/
[7]: https://github.com/pyladies/pyladies/tree/master/www/locations
[8]: http://www.meetup.com/women-who-code-sf
[9]: http://www.marketwired.com/press-release/-1771597.htm
",Markdown
"---
layout: post
title: Week 1 Review
---

## Weekly Review (8/30/15)

It's Sunday afternoon on the 30th of August, and I've finally managed to set this Jekyll thing up, which means I can now talk about my time in the class this past week! Hooray!

Besides being the only class I have on Mondays, Wednesdays, and Fridays, Object Oriented Programming is great so far. Professor Downing structures the course so that the incoming student has a background in programming, but not necessarily in C++. This is great because myself (as well as many other students in the course, I'd assume), have made it through Data Structures (CS 314, a prerequisite to the prerequisite of this class, CS 429), but have no background in the language of C++.

While I'm not the biggest fan of the teaching method Prof. Downing uses (the calling out of students at random to answerom questions), the lectures he has given thus far are very interesting and in-depth, taking time to explain even the most minute things. I feel like this course will give students more than just knowledge in a new language at the end of the day; I think it'll give them a much more in-depth idea of how to approach programming problems as well as a set of tools to use during the development process that they didn't even know they had.

## Tip of the Week 

    http://gitref.org/

Familiarizing yourself with Git and the commands associated with it will prove to be invaluable to you as you progress in your programming career. The above website is a bare-bones, to-the-point reference site that helps this process.
",Markdown
"# What is fakeLoader.js

fakeLoader.js is a lightweight jQuery plugin that helps you create an animated spinner with a fullscreen loading mask to simulate the page preloading effect.

Check out the demo [http://joaopereirawd.github.io/fakeLoader.js/](http://joaopereirawd.github.io/fakeLoader.js)

## Current Version 
`V2.0.0`

### 1. Installing 
```js 
yarn add jq-fakeloader
or
npm i jq-fakeloader
```

### 2. Include CSS
```css
<link rel=""stylesheet"" href=""../node_modules/dist/fakeLoader.min.css"">
```

### 3. Include `javascript` dependencies
```
<script src=""https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js"">
<script src=""../node_modules/dist/fakeLoader.min.js"">
```

### 4. Include `fakeLoader` placeholder in the HTML Document 
```
<div class=""fakeLoader""></div>
```

### 5. Basic Initialize
```js
<script>
   $.fakeLoader();
</script>
```

### 6. Options


`timeToHide` //Time in milliseconds for fakeLoader disappear

`spinner` //'spinner1', 'spinner2', 'spinner3', 'spinner4', 'spinner5', 'spinner6', 'spinner7'

`bgColor`  //Hex, RGB or RGBA colors

### Support
If you encounter an issue or want to request a feature, you can create an [issue](https://github.com/joaopereirawd/fakeLoader.js/issues)



",Markdown
"<!DOCTYPE html>
<html lang=""en"">
    <head>
        {{ bokeh_css }}
        {{ bokeh_js }}
        <style>
             {% include 'styles.css' %}
        </style>
        <meta charset=""utf-8"">
        <title>MolExplorer</title>
    </head>
    <body>
    <div>
        <h1>Vizard</h1>
        {{ plot_div|indent(8) }}
    </div>
        {{ plot_script|indent(8) }}
    </body>
</html>
",HTML
"<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
		
		<meta name=""author"" content=""Ginolhac"">
		
		<meta name=""generator"" content=""Hugo 0.42.1"" />
		<title>Posts &middot; Aurélien&#39; blog</title>
		<link rel=""shortcut icon"" href=""//ginolhac.github.io/images/favicon.ico"">
		<link rel=""stylesheet"" href=""//ginolhac.github.io/css/style.css"">
		<link rel=""stylesheet"" href=""//ginolhac.github.io/css/highlight.css"">
    <link href=""//ginolhac.github.io/styles/github.min.css"" rel=""stylesheet"">
		
		<link rel=""stylesheet"" href=""//ginolhac.github.io/css/font-awesome.min.css"">
		

		

		
	</head>

	<body>
	<nav class=""main-nav"">
	
	
		<a href='//ginolhac.github.io/'> <span class=""arrow"">←</span>Home</a>
	
	<a href='//ginolhac.github.io/posts'>Archive</a>
	<a href='//ginolhac.github.io/karate'>Karate</a>
	<a href='//ginolhac.github.io/tags'>Tags</a>
	<a href='//ginolhac.github.io/about'>About</a>

	

	
</nav>

	<div class=""profile"">
    <section id=""wrapper"">
        <header id=""header"">
            <a href='//ginolhac.github.io/about'>
              
              
              
                <img id=""avatar"" class=""2x"" src=""//ginolhac.github.io/images/avatar.png""/>
              
            </a>
            <h1>Aurélien&#39; blog</h1>
            <h2>bioinformatic and data science</h2>
        </header>
    </section>
</div>


	<section id=""wrapper"" class=""home"">
		
		<div class=""archive"">
			<h3>2018</h3>
			<ul>
					
					<div class=""post-item"">
						<div class=""post-time"">Mar 26</div>
						<a href=""//ginolhac.github.io/posts/latex-modern-cv/"" class=""post-link"">
							LaTex modern CV
						</a>
					</div>
					
					<div class=""post-item"">
						<div class=""post-time"">Jan 27</div>
						<a href=""//ginolhac.github.io/posts/diy-raspberry-monitored-via-telegram/"" class=""post-link"">
							home surveillance monitored via telegram
						</a>
					</div>
					
			</ul>
		</div>
		
		<div class=""archive"">
			<h3>2016</h3>
			<ul>
					
					<div class=""post-item"">
						<div class=""post-time"">Dec 8</div>
						<a href=""//ginolhac.github.io/posts/tweening-a-poisson-distribution/"" class=""post-link"">
							tweening a Poisson distribution
						</a>
					</div>
					
					<div class=""post-item"">
						<div class=""post-time"">Jul 31</div>
						<a href=""//ginolhac.github.io/posts/teething-process/"" class=""post-link"">
							teething
						</a>
					</div>
					
			</ul>
		</div>
		
		<div class=""archive"">
			<h3>2015</h3>
			<ul>
					
					<div class=""post-item"">
						<div class=""post-time"">Jan 25</div>
						<a href=""//ginolhac.github.io/posts/winter-is-coming/"" class=""post-link"">
							winter is coming
						</a>
					</div>
					
			</ul>
		</div>
		
		<footer id=""footer"">
    
        <div id=""social"">

	
	
    <a class=""symbol"" href=""https://github.com/ginolhac"">
        <i class=""fa fa-github-square""></i>
    </a>
    
    <a class=""symbol"" href=""https://www.linkedin.com/in/aur%c3%a9lien-ginolhac-07b33b92/"">
        <i class=""fa fa-linkedin-square""></i>
    </a>
    
    <a class=""symbol"" href=""https://twitter.com/kingsushigino"">
        <i class=""fa fa-twitter-square""></i>
    </a>
    


</div>

    
    <p class=""small"">
    
       © Copyright 2021 <i class=""fa fa-heart"" aria-hidden=""true""></i> Ginolhac
    
    </p>
    <p class=""small"">
        Powered by <a href=""//www.gohugo.io/"">Hugo</a> Theme By <a href=""https://github.com/nodejh/hugo-theme-cactus-plus"">nodejh</a>
    </p>
    <script src=""//yihui.name/js/math-code.js""></script>
    <script async
      src=""//cdn.bootcss.com/mathjax/2.7.1/MathJax.js?config=TeX-MML-AM_CHTML"">
    </script>
    <script src=""//ginolhac.github.io/highlight.min.js""></script>
    <script src=""//ginolhac.github.io/languages/r.min.js""></script>

    <script>
      hljs.configure({languages: []});
      hljs.initHighlightingOnLoad();
    </script>
</footer>

	</section>

	<div class=""dd"">
	</div>

	<script src=""//ginolhac.github.io/js/jquery-3.3.1.min.js""></script>
<script src=""//ginolhac.github.io/js/main.js""></script>
<script src=""//ginolhac.github.io/js/highlight.min.js""></script>
<script>hljs.initHighlightingOnLoad();</script>




  
<script>
var doNotTrack = false;
if (!doNotTrack) {
	(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){
	(i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o),
	m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)
	})(window,document,'script','https://www.google-analytics.com/analytics.js','ga');
	ga('create', 'UA-29962051-1', 'auto');
	
	ga('send', 'pageview');
}
</script>





	</body>
</html>
",HTML
"<!DOCTYPE html>

<html>
<head>
<meta charset=""utf-8"">
</meta>
<meta content=""width=device-width, initial-scale=1"" name=""viewport"">
</meta>
<link href=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css"" rel=""stylesheet"">
</link>
<link href=""../../resources/stof-style.css"" rel=""stylesheet"">
</link>
<script src=""https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js"">
</script>
<script src=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js"">
</script>
<script src=""../../resources/search.js"">
</script>
<script src=""../../resources/analytics.js"">
</script>
</head>
<body>
<nav class=""navbar navbar-default"">
<div class=""container-fluid"">
<div class=""navbar-header"">
<button aria-expanded=""false"" class=""navbar-toggle collapsed"" data-target=""#bs-example-navbar-collapse-1"" data-toggle=""collapse"" type=""button"">
<span class=""sr-only"">
       Toggle navigation
      </span>
<span class=""icon-bar"">
</span>
<span class=""icon-bar"">
</span>
<span class=""icon-bar"">
</span>
</button>
<a class=""navbar-brand"" href=""../../index.html"">
      Bob Dylan Lyrics
     </a>
</div>
<div aria-expanded=""false"" class=""navbar-collapse collapse"" id=""bs-example-navbar-collapse-1"" style=""height: 1px"">
<ul class=""nav navbar-nav"">
<li>
<a href=""../../full_lyrics_file_dumps/downloads.html"">
        Downloads
       </a>
</li>
<li>
<a href=""../../songs/song_index/song_index.html"">
        All Songs
       </a>
</li>
<li>
<a href=""../../albums/album_index/album_index.html"">
        All Albums
       </a>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        1960s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/bob_dylan.html"">
          Bob Dylan (1962)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_freewheelin_bob_dylan.html"">
          The Freewheelin' Bob Dylan (1963)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_times_they_are_a-changin.html"">
          The Times They Are A-Changin' (1964)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/another_side_of_bob_dylan.html"">
          Another Side of Bob Dylan (1964)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/bringing_it_all_back_home.html"">
          Bringing It All Back Home (1965)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/highway_61_revisited.html"">
          Highway 61 Revisited (1965)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/blonde_on_blonde.html"">
          Blonde on Blonde (1966))
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/bob_dylans_greatest_hits.html"">
          Bob Dylan's Greatest Hits (1967)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/john_wesley_harding.html"">
          John Wesley Harding (1967)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/nashville_skyline.html"">
          Nashville Skyline (1969)
         </a>
</li>
</ul>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        1970s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/self_portrait.html"">
          Self Portrait (1970)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/new_morning.html"">
          New Morning (1970)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/bob_dylans_greatest_hits_vol_ii.html"">
          Bob Dylan's Greatest Hits, Vol. II (1971)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/pat_garrett_and_billy_the_kid.html"">
          Pat Garrett &amp; Billy the Kid (1973)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/dylan.html"">
          Dylan (1973)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/planet_waves.html"">
          Planet Waves (1974)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/before_the_flood.html"">
          Before the Flood (1974)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/blood_on_the_tracks.html"">
          Blood on the Tracks (1975)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_basement_tapes.html"">
          The Basement Tapes (1975)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/desire.html"">
          Desire (1976)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/hard_rain.html"">
          Hard Rain (1976)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/street_legal.html"">
          Street-Legal (1978)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/bob_dylan_at_budokan.html"">
          Bob Dylan at Budokan (1979)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/slow_train_coming.html"">
          Slow Train Coming (1979)
         </a>
</li>
</ul>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        1980s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/saved.html"">
          Saved (1980)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/shot_of_love.html"">
          Shot of Love (1981)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/infidels.html"">
          Infidels (1983)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/real_live_1.html"">
          Real Live (1984)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/empire_burlesque.html"">
          Empire Burlesque (1985)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/biograph.html"">
          Biograph (1985)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/knocked_out_loaded.html"">
          Knocked Out Loaded (1986)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/down_in_the_groove.html"">
          Down in the Groove (1988)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/dylan_and_the_dead.html"">
          Dylan &amp; the Dead (1989)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/oh_mercy.html"">
          Oh Mercy (1989)
         </a>
</li>
</ul>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        1990s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/under_the_red_sky.html"">
          Under the Red Sky (1990)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_bootleg_series_volumes_1-3_rare_and_unreleased_1961-1991.html"">
          The Bootleg Series Volumes 1-3 (Rare &amp; Unreleased) 1961-1991 (1991)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/good_as_i_been_to_you.html"">
          Good As I Been to You (1992)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/world_gone_wrong.html"">
          World Gone Wrong (1993)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/bob_dylans_greatest_hits_volume_3.html"">
          Bob Dylan's Greatest Hits Volume 3 (1994)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/mtv_unplugged.html"">
          MTV Unplugged (1995)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/time_out_of_mind.html"">
          Time Out of Mind (1997)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_bootleg_series_vol_4_bob_dylan_live_1966.html"">
          The Bootleg Series Vol. 4: Bob Dylan Live 1966, The ""Royal Albert Hall"" Concert (1998)
         </a>
</li>
</ul>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        2000s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/the_essential_bob_dylan.html"">
          The Essential Bob Dylan (2000)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/love_and_theft.html"">
          Love and Theft (2001)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_bootleg_series_vol_5_bob_dylan_live_1975_the_rolling_thunder_revue.html"">
          The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue (2002)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_bootleg_series_vol_6_bob_dylan_live_1964_concert_at_philharmonic_hall.html"">
          The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall (2004)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/the_best_of_bob_dylan.html"">
          The Best of Bob Dylan (2005)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/modern_times.html"">
          Modern Times (2006)
         </a>
</li>
<li>
<a class=""album"" href=""../../albums/together_through_life.html"">
          Together through Life (2009)
         </a>
</li>
</ul>
</li>
<li class=""dropdown"">
<a aria-expanded=""false"" aria-haspopup=""true"" class=""dropdown-toggle"" data-toggle=""dropdown"" href=""#"" role=""button"">
        2010s
        <span class=""caret"">
</span>
</a>
<ul class=""dropdown-menu"">
<li>
<a class=""album"" href=""../../albums/tempest.html"">
          Tempest (2012)
         </a>
</li>
</ul>
</li>
</ul>
<div class=""col-md-3"" style=""border:0px solid;width:30%;height:auto;"">
<gcse:search>
<form class=""navbar-form navbar-right"" role=""search"">
</form>
</gcse:search>
</div>
</div>
</div>
</nav>
<div class=""container"">
<div class=""row"">
<div class=""col-md-12"">
<h1>
      Lay Lady Lay
     </h1>
</div>
</div>
<div class=""row"">
<div class=""col-md-12"">
<p>
<div>
       Lay<a href=""#1""><sup>1</sup></a>, lady, lay, lay across my big brass bed,
      </div>
<div>
       Lay, lady, lay, lay across my big brass bed.
      </div>
<div>
       Whatever colors you have in your mind,
      </div>
<div>
       I'll show them to you and you'll see them shine.
      </div>
</p>
<p>
<div>
       Lay, lady, lay, lay across my big brass bed,
      </div>
<div>
       Forget this dance, let's go upstairs.
      </div>
<div>
       Let's take a chance – who really cares?
      </div>
<div>
       Why don't you know you got nothing to prove?
      </div>
<div>
       It's all in your eyes and the way that you move.
      </div>
</p>
<p>
<div>
       Forget this dance, let's go upstairs.
      </div>
<div>
       Why wait any longer for no need to complain?<a href=""#2""><sup>2</sup></a>
</div>
<div>
       You can have love, but you might lose it.
      </div>
<div>
       Why run any longer when you're running in vain?
      </div>
<div>
       You can have the truth, but you got to choose it.
      </div>
</p>
<p>
<div>
       Stay, lady, stay, stay with your man awhile,
      </div>
<div>
       Till the break of day let me see you make him smile.
      </div>
<div>
       I long to see you in the morning light,
      </div>
<div>
       I long to hold you in the night –
      </div>
<div>
       Stay, lady, stay, stay with your man awhile.
      </div>
</p>
<p>
<div>
       Lay, lady, lay, lay across my big brass bed.
      </div>
</p>
<p>
<div>
<a name=""1"">
<sup>
         1
        </sup>
</a>
<small>
        The correct verb to use would technically be ""lie"" (she lies, she lay, she has lain), not ""lay"", which is the transitive form of ""lie"". However, the distinction between the two forms has been increasingly disappearing in English due at least partially to the fact that the base form of the verb <i>lay</i> looks and sounds exactly the same as the simple past form of <i>lay</i>. But just because the use of <i>lay</i> in this song is technically incorrect doesn't mean that it was not intentional: it would not sound right to hear ""lie, lady, lie, lie across my big brass bed"" (because of the assonance) and, besides, this is how real people talk every day and there's nothing wrong with it.
       </small>
</div>
<div>
<a name=""2"">
<sup>
         2
        </sup>
</a>
<small>
        Here it's almost as though Dylan begins to sing the line from the original album version, ""Why wait any longer for the world to begin?"", before improvising about halfway through, which might explain why the line sounds sort of meaningless and inane.
       </small>
</div>
</p>
</div>
</div>
</div>
</body>
</html>",HTML
